model,reasoning,task,mean_performance
qwen__qwen3-235b-a22b-2507,none,Division,0.46372765976769925
qwen__qwen3-235b-a22b-2507,none,Exponentiation,0.21651279230401094
qwen__qwen3-235b-a22b-2507,none,Interval,0.986
qwen__qwen3-235b-a22b-2507,none,Mean,0.5936615773243421
qwen__qwen3-235b-a22b-2507,none,MinMax,0.958
qwen__qwen3-235b-a22b-2507,none,Multiplication,0.39029676760505433
qwen__qwen3-235b-a22b-2507,none,Sorting,0.988
qwen__qwen3-235b-a22b-2507,none,Std,0.1247683576533233
qwen__qwen3-235b-a22b-thinking-2507,high,Addition,0.9874063202147325
qwen__qwen3-235b-a22b-thinking-2507,high,Division,0.7784031861106848
qwen__qwen3-235b-a22b-thinking-2507,high,Exponentiation,0.5691583108309696
qwen__qwen3-235b-a22b-thinking-2507,high,Interval,1.0
qwen__qwen3-235b-a22b-thinking-2507,high,Mean,0.9451222949804107
qwen__qwen3-235b-a22b-thinking-2507,high,MinMax,1.0
qwen__qwen3-235b-a22b-thinking-2507,high,Multiplication,0.8795037382522111
qwen__qwen3-235b-a22b-thinking-2507,high,Sorting,0.998
qwen__qwen3-235b-a22b-thinking-2507,high,Std,0.4884478077742224
